type,title,rating,duration,listed_in,IMDb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
TV Show,kids,16+,1 Season,Drama,9.3,fedor bavtrikov,rodion galyuchenko,mikhail khimichev,alena shitikova,evgeni tokarev,anjela belyanskaya,grant kagramanyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,swallows and amazons,ALL,97 min,"Action, Drama, Kids",9.3,bobby mcculloch,dane hughes,kelly macdonald,teddie malleson_allen,orla hill,andrew scott,dan skinner,rafe spall,harry enfield,jessica hynes,fenella woolgar,seren hawkes,hannah_jayne thorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,surgeons: at the edge of life,16+,1 Season,Documentary,9.2,shaun dooley,steven jeffery,sam ford,richard laing,tim martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,stay tuned,PG,88 min,"Animation, Comedy, Sci_Fi",9.2,john ritter,pam dawber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the most fun you can have dying,13+,97 min,"Drama, Romance",9.2,matt whelan,rozane mesquida,pana hema_taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the roommate,PG_13,91 min,Suspense,9.2,minka kelly,cam gigandet,leighton meester,aly michalka,danneel harris,frances fisher,billy zane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the courier (2021) (4k uhd),PG_13,112 min,"Drama, Suspense",9.2,benedict cumberbatch,merab ninidze,rachel brosnahan,jessie buckley,angus wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,like dogs,18+,94 min,Horror,9.2,annabel barrett,ignacyo matynia,ryan tran,shay denison,katy dore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,toxification,13+,65 min,Documentary,9.1,darshan singh rudel,inderjeet singh jaijee,gurpartap singh pannu,amarjit singh,balbir singh,dr nicola cannon,ranbir singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,the wolf,13+,1 Season,"Drama, Romance",9.1,li qin,wang dalu,xiao zhan,xin zhilei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,the untamed,13+,1 Season,Drama,9.1,sean xiao,wang yi bo,zoey meng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,harmony with a r rahman,NR,1 Season,"Arts, Entertainment_Culture, Documentary",9.1,a r rahman,sajith vijayan,bahauddin dagar,bedabati,mickma tshering lepcha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,my 3 boys,PG_13,85 min,"Drama, Faith_Spirituality, SpecialInterest",9.1,harriet burnette,ryan mock curry,leaton mitchell,latanya bond,maquavian garfield,makari garfield,kelvin airemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,kasak,13+,142 min,"Drama, Romance",9.1,neelam kothari,rishi kapoor,kader khan,laxmikant berde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,joe & joe,13+,79 min,"Arts, Entertainment_Culture, Comedy, Suspense",9.1,david wysocki,sean patrick brennan,tracy griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,18 vayasu,13+,151 min,"Drama, Suspense",9.1,johnny,gayathrie,rohini,sathyendra,yuvarani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,at the fork,16+,95 min,"Documentary, SpecialInterest",9.1,john papola,lisa versaci,kim sturla,jayson lusk,temple grandin,malcolm dekryger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,an eye for an eye,13+,98 min,"Documentary, SpecialInterest",9.1,mark stroman,rais bhuiyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,oh my kadavule,13+,147 min,"Romance, Sci_Fi",9.1,ashok selvan,ritika singh,vani bhojan,sha ra,m. s. bhaskar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,charlotte moon mysteries _ green on the greens,13+,106 min,"Comedy, Suspense",9.1,ashley horne,brooke horne,briana joy johnson,reece calhoun,heather lever,garrett linn,brady hepner,hunter gray,brynn burch,evan pahl,reese crawley,pete mangum,dianna peukstelis,patrick smith,seth robbins,joshua kornmayer,ginger hubbs martin,melvin w. evans jr.,olivia celine,jack young,izzy pike,shelley sink,rae derosa,russell scott,arnell pharr,bonnie ryerson,rhonda mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,cattle hill,7+,66 min,"Animation, Kids",9.1,henriette faye_schã¸ll,fritjof sã¥heim,jan martin johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,arachnophobia,PG_13,110 min,"Comedy, Horror",9.1,jeff daniels,john goodman,julian sands,brian mcnamara,harley jane kozak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,jeff allen: i can laugh about it now,7+,42 min,"Arts, Entertainment_Culture, Comedy, SpecialInterest",9.1,jeff allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,the office,TV_14,2 Seasons,Comedy,9,lucy davis,ricky gervais,martin freeman,mackenzie crook,stephen merchant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,the lion's kingdom,7+,1 Season,"Documentary, SpecialInterest",9,barry paine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,explore the wildlife kingdom: lions _ kings of africa,PG,49 min,"Documentary, SpecialInterest",9,grant goodeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,corazon contento,TV_NR,1 Season,Comedy,9,enrique altamira,blanca echeverria,jimena picos,augusto palma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,concrete jungle,TV_14,1 Season,"Arts, Entertainment_Culture, Comedy, Drama",9,meghan irving,idania quezada,sydney_alexis hall,autumn jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,kaalamellam kaathiruppen,ALL,133 min,"Comedy, Drama, Romance",9,vijay,dimple,charle,manivannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,wife on the drive,16+,1 Season,Unscripted,9,denis kosiakov,valery sheveliov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,sucker punch,R,91 min,Action,9,tom hardy,tamer hassan,antonio fargas,ian freeman,gordon alexander,janet house,danny johns_jules,jimmy kent,joe long,lisa nash,john pyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,starting up,16+,1 Season,Drama,9,vaibhav bhatt,swapoorna sen,jatin thaman,aditya jha,kaninika chakravarthy,moumi guha,deepankar biswas,disha pereira,ujani ghosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,one and the same,13+,111 min,"Drama, Sci_Fi",9,glenn plummer,acoryã© white,ignacyo matynia,makena taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,force of nature,R,91 min,"Action, Adventure, Suspense",9,emile hirsch,kate bosworth,mel gibson,david zayas,stephanie cayo,will catlett,swen temmel,tyler jon olson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,chicago overcoat,13+,94 min,"Action, Drama, Suspense",9,frank vincent,kathrine narducci,mike starr,stacy keach,armand assante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"robert mitchum & julie london in ""the wonderful country"" _ a technicolor western classic",13+,94 min,"Action, Drama, Western",9,robet mitchum,julie london,gary merrill,albert dekker,jack oakie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,vroomiz,ALL,1 Season,"Animation, Kids",9,jung hwa yang,sang hyun uhm,so young lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,pati's mexican table,ALL,1 Season,SpecialInterest,8.9,pati jinich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,owlegories,ALL,1 Season,"Animation, Faith_Spirituality, Kids",8.9,holly franklin,jaden roberts,mary morgan,alison viktorin,thomas boto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,my greatest dishes,7+,1 Season,"Documentary, SpecialInterest",8.9,sean pertwee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV Show,james martin: home comforts,16+,3 Seasons,SpecialInterest,8.9,james martin,annie gray,carol steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,shukra,13+,117 min,"Drama, Suspense",8.9,arvind krishna,srijitaa ghosh,milan rathi,sanjeev rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"it's all gone, pete tong",18+,88 min,"Comedy, Drama",8.9,paul kaye,beatriz batarda,kate magowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,too late to die young (tarde para morir joven),13+,110 min,"Arthouse, Drama",8.9,demian hernã¡ndez,magdalena tã³toro,antar machado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
