type,title,rating,duration,listed_in,IMDb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Movie,niyazi gã¼l dã¶rtnala,TV-MA,102 min,"Comedies, InternationalMovies",9.7,ata demirer,demet akbaäÿ,åžebnem bozoklu,levent ãœlgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,god knows where i am,TV-PG,103 min,Documentaries,9.6,lori singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the chord,TV-MA,101 min,"Dramas, InternationalMovies, Music_Musicals",9.6,mostafa shaban,ghada adel,arwa gouda,ahmed salah al-saadany,ashraf zaki,sawsan badr,fatma nasser,said saleh,ali hassanein,majed abdulazim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the 4400,TV-14,4 Seasons,"TVDramas, TVMysteries, TVSci_Fi_Fantasy",9.5,joel gretsch,jacqueline mckenzie,patrick john flueger,conchita campbell,chad faust,richard kahan,mahershala ali,billy campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,"plaire, aimer et courir vite",TV-MA,133 min,"Dramas, IndependentMovies, InternationalMovies",9.5,vincent lacoste,pierre deladonchamps,denis podalydã¨s,adã¨le wismes,thomas gonzalez,clement metayer,quentin thã©bault,tristan farge,sophie letourneur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the chosen,TV-14,111 min,"Dramas, InternationalMovies, Thrillers",9.5,alfonso herrera,hannah murray,henry goodman,julian sands,frances barber,emilio echevarrã­a,alejandro calva,elvira mã­nguez,roger casamajor,luis rosales,javier godino,alexander holtmann,brontis jodorowsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,planet earth ii,TV-G,1 Season,"BritishTVShows, Docuseries, Science _ Nature TV",9.4,david attenborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,chhota bheem _ krishna: mayanagari,TV-Y7,67 min,Children_FamilyMovies,9.3,vatsal dubey,julie tejwani,rupa bhimani,jigna bhardwaj,rajesh kava,mousam,swapnil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,chhota bheem _ krishna: pataliputra- city of the dead,TV-Y7,66 min,Children_FamilyMovies,9.3,vatsal dubey,julie tejwani,rupa bhimani,jigna bhardwaj,rajesh kava,arun shekher,sanchit wartak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,motu patlu in dragon's world,TV-Y7,78 min,"Children_FamilyMovies, Comedies",9.3,saurav chakrabarty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,iris,TV-14,1 Season,"InternationalTvShows, KoreanTVShows, TVAction_Adventure",9.3,lee byung-hun,kim tae-hee,jeong jun-ho,kim young-chul,kim seung-woo,kim so-yeon,yun ju-sang,lee jeong-kil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,imposters,TV-MA,2 Seasons,"CrimeTVShows, InternationalTvShows, TVComedies",9.3,inbar lavi,rob heaps,parker young,marianne rendã³n,stephen bishop,brian benben,katherine la nasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,blue mountain state: the rise of thadland,R,90 min,Comedies,9.3,alan ritchson,darin brooks,james cade,rob ramsay,chris romano,frankie shaw,omari newton,ed marinaro,dhani jones,ed amatrudo,jimmy tatro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,bob lazar: area 51 _ flying saucers,TV-MA,97 min,Documentaries,9.3,robert lazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,let there be light,TV-PG,58 min,"ClassicMovies, Documentaries",9.3,walter huston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the jungle book,TV-Y7,1 Season,KidsTV,9.3,emma tate,jimmy hibbert,sam gold,david holt,joseph j. terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,kota factory,TV-MA,2 Seasons,"InternationalTvShows, RomanticTVShows, TVComedies",9.2,mayur more,jitendra kumar,ranjan raj,alam khan,ahsaas channa,revathi pillai,urvi singh,arun kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,middle men,R,113 min,"Comedies, Dramas, IndependentMovies",9.2,luke wilson,giovanni ribisi,gabriel macht,james caan,jacinda barrett,kevin pollak,laura ramsey,rade serbedzija,terry crews,kelsey grammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,posesif,TV-MA,102 min,"Dramas, InternationalMovies, RomanticMovies",9.2,putri marino,adipati dolken,gritte agatha,chicco kurniawan,yayu unru,cut mini theo,ismail basbeth,maulidina k. putri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,daniel sloss: live shows,TV-MA,1 Season,"StandUpComedy _ Talk Shows, TVComedies",9.2,daniel sloss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,issaq,TV-MA,140 min,"Dramas, InternationalMovies, Music_Musicals",9.2,prateik,amyra dastur,ravi kishan,prashant narayanan,rajeshwari sachdev,neena gupta,makarand deshpande,vineet kumar singh,amit sial,prashantt guptha,sudhir pandey,evelyn sharma,sandeep bose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,ùšùˆù… ø§ù„ø¯ùšù†,TV-14,97 min,"Dramas, IndependentMovies, InternationalMovies",9.2,rady gamal,ahmed abdelhafiz,shahira fahmy,shehab ibrahim,mohamed abd el azim,osama abdullah,khaled raafat,mohamed qishta,shoq emara,mahmoud fares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the last dance,TV-MA,1 Season,Docuseries,9.1,michael jordan,scottie pippen,dennis rodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,and then came lola,TV-MA,70 min,"Comedies, IndependentMovies, LGBTQMovies",9.1,ashleigh sumner,jill bennett,cathy debuono,jessica graham,angelyna martinez,candy tolentino,linda ignazi,jenoa harlow,lisa dewey,kathy domenici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the awakening of motti wolkenbruch,TV-MA,94 min,"Comedies, Dramas, InternationalMovies",9.1,inge maux,noã©mie schmidt,joel basman,sunnyi melles,udo samel,rachel braunschweig,oriana schrage,meytal gal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,fullmetal alchemist,TV-14,1 Season,"AnimeSeries, InternationalTvShows",9.1,romi park,rie kugimiya,megumi toyoguchi,miyoko aso,toru okawa,michiko neya,kenji utsumi,hidekatsu shibata,ryotaro okiayu,yuko sato,yasuhiro takato,keiji fujiwara,yasunori matsumoto,tomoyuki shimura,tetsu shiratori,takehiro murozono,makoto nagai,mayumi yamaguchi,kotono mitsuishi,satomi koorogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,class rank,TV-MA,103 min,Comedies,9.1,olivia holt,skyler gisondo,kristin chenoweth,bruce dern,nick krause,kathleen chalfant,peter maloney,rod mclachlan,hawn tran,danni wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,hannibal,TV-MA,3 Seasons,"TVHorror, TVMysteries, TV Thrillers",9.1,hugh dancy,mads mikkelsen,caroline dhavernas,hettienne park,laurence fishburne,scott thompson,aaron abrams,gillian anderson,lara jean chorostecki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,kay dyache bola,TV-14,133 min,"Comedies, Dramas, InternationalMovies",9.1,makarand anaspure,akshay pendse,umesh kamat,sharvari jamenis,sachin khedekar,arun nalawade,mohan agashe,nirmiti sawant,sanjay mone,amita khopkar,pushkar shrotri,ganesh yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,ram teri ganga maili,TV-14,178 min,"ClassicMovies, Dramas, InternationalMovies",9.1,mandakini,rajiv kapoor,divya rana,saeed jaffrey,kulbhushan kharbanda,raza murad,sushma seth,trilok kapoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,shelter,R,112 min,"HorrorMovies, Thrillers",9.1,julianne moore,jonathan rhys meyers,jeffrey demunn,frances conroy,nate corddry,brooklynn proulx,brian anthony wilson,joyce feurring,steven rishard,charles techman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the tuxedo,PG-13,99 min,"Action_Adventure, Comedies",9.1,jackie chan,jennifer love hewitt,jason isaacs,debi mazar,ritchie coster,peter stormare,mia cottet,romany malco,daniel kash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,hunter x hunter (2011),TV-14,6 Seasons,"AnimeSeries, InternationalTvShows",9,megumi han,mariya ise,keiji fujiwara,miyuki sawashiro,daisuke namikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,okupas,TV-MA,1 Season,"Classic _ Cult TV, CrimeTVShows, InternationalTvShows",9,rodrigo de la serna,diego alonso,ariel staltari,franco tirri,ana celentano,rosina soto,augusto brã­tez,dante mastropierro,susana manchini,diana wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the kominsky method,TV-MA,3 Seasons,"TVComedies, TVDramas",9,michael douglas,alan arkin,sarah baker,nancy travis,susan sullivan,lisa edelstein,emily osment,graham rogers,jenna lyng adams,ashleigh lathrop,melissa tang,casey thomas brown,ann-margret,danny devito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,forged in fire,TV-14,1 Season,RealityTV,9,wil willis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,walk away from love,TV-14,81 min,"Dramas, RomanticMovies",9,noree victoria,brad james,robert christopher riley,brely evans,sabrina revelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,sword art online,TV-MA,3 Seasons,"AnimeSeries, InternationalTvShows",9,yoshitsugu matsuoka,haruka tomatsu,ayana taketatsu,kanae ito,rina hidaka,ayahi takagaki,hiroaki hirata,hiroki yasumoto,saori hayami,koichi yamadera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,mystic pop-up bar,TV-MA,1 Season,"InternationalTvShows, KoreanTVShows, TVComedies",9,hwang jung-eum,yook sung-jae,choi won-young,lee jun-hyeok,jeong da-eun,na in-woo,yeom hye-ran,park eun-hye,park si-eun,song geon-hee,kim hee-jung,ahn tae-hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,monzã³n: a knockout blow,TV-MA,1 Season,"CrimeTVShows, InternationalTvShows, Spanish_LanguageTVShows",9,jorge romã¡n,mauricio paniagua,carla quevedo,paloma ker,soledad silveyra,diego cremonesi,florencia raggi,gustavo garzã³n,yayo guridi,fabiã¡n arenillas,nacho gadano,belã©n chavanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,chicago typewriter,TV-14,1 Season,"InternationalTvShows, KoreanTVShows, RomanticTVShows",9,yoo ah-in,im soo-jung,ko kyoung-pyo,kwak si-yang,jo woo-jin,yang jin-sung,jeon soo-kyeong,ji dae-han,chun ho-jin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,berlin syndrome,R,116 min,"InternationalMovies, Thrillers",9,matthias habich,max riemelt,teresa palmer,lucie aron,emma bading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,blind date,TV-14,91 min,"Comedies, InternationalMovies, Music_Musicals",9,mã©lanie bernier,clovis cornillac,lilou fogli,philippe duquesne,grã©goire oestermann,oscar copp,boris terral,manu payet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,froning: the fittest man in history,PG,99 min,"Documentaries, InternationalMovies, SportsMovies",9,rich froning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,humko deewana kar gaye,TV-PG,149 min,"InternationalMovies, Music_Musicals, RomanticMovies",9,akshay kumar,katrina kaif,bipasha basu,bhagyashree,shernaz patel,vivek shaq,mahesh thakur,ranjeet,nina kulkarni,puneet issar,anju mahendru,manoj joshi,anil kapoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,kraftidioten,TV-MA,117 min,"Comedies, InternationalMovies, Thrillers",9,stellan skarsgã¥rd,pã¥l sverre hagen,bruno ganz,hildegun riise,peter andersson,birgitte hjort sã¸rensen,jakob oftebro,anders baasmo christiansen,jon ã˜igarden,gard b. eidsvold,kristofer hivju,birgitte hjort sorensen,stellan skarsgard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,krish trish and baltiboy,TV-Y7,58 min,Children_FamilyMovies,9,damandeep singh baggan,smita malhotra,baba sehgal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,krish trish and baltiboy: battle of wits,TV-Y7,62 min,Children_FamilyMovies,9,damandeep singh baggan,smita malhotra,baba sehgal,deepak chachra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,krish trish and baltiboy: best friends forever,TV-Y,65 min,Children_FamilyMovies,9,damandeep singh baggan,smita malhotra,deepak chachra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,krish trish and baltiboy: comics of india,TV-Y7,61 min,Children_FamilyMovies,9,damandeep singh baggan,smita malhotra,baba sehgal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,krish trish and baltiboy: face your fears,TV-Y7,65 min,Children_FamilyMovies,9,tarun ratnani,smita malhotra,deepak chachra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,krish trish and baltiboy: oversmartness never pays,TV-Y7,65 min,Children_FamilyMovies,9,rishi gambhir,smita malhotra,deepak chachra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,krish trish and baltiboy: part ii,TV-Y7,58 min,Children_FamilyMovies,9,damandeep singh baggan,smita malhotra,baba sehgal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,life on location,TV-G,1 Season,"BritishTVShows, Docuseries, Science _ Nature TV",9,david attenborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,magnus,TV-PG,75 min,"Children_FamilyMovies, Documentaries, InternationalMovies",9,magnus carlsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,nature: raising the dinosaur giant,TV-G,53 min,Documentaries,9,david attenborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,nature's great events (2009),TV-PG,1 Season,"BritishTVShows, Docuseries, Science _ Nature TV",9,david attenborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,scary movie 5,PG-13,88 min,"Comedies, HorrorMovies",9,simon rex,ashley tisdale,charlie sheen,lindsay lohan,gracie whitton,ava kolker,erica ash,lidia porto,katrina bowden,terry crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the bleeder,R,98 min,"Dramas, SportsMovies",9,liev schreiber,elisabeth moss,ron perlman,naomi watts,jim gaffigan,michael rapaport,pooch hall,morgan spector,jason jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the longshots,PG,95 min,"Comedies, Dramas, SportsMovies",9,ice cube,keke palmer,tasha smith,jill marie jones,dash mihok,matt craven,glenn plummer,garrett morris,miles chandler,malcolm goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the nutcracker and the four realms,PG,99 min,Children_FamilyMovies,9,mackenzie foy,keira knightley,helen mirren,morgan freeman,matthew macfadyen,eugenio derbez,miranda hart,jack whitehall,ellie bamber,richard e. grant,omid djalili,tom sweet,misty copeland,sergei polunin,meera syal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the walls of the moon,TV-14,98 min,"Action_Adventure, Dramas, InternationalMovies",9,mona zaki,asser yassin,amr saad,salwa mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,equinox,TV-MA,1 Season,"InternationalTvShows, TVMysteries, TV Thrillers",8.9,danica curcic,karoline hamm,viola martinsen,lars brygmann,hanne hedelund,august issac carter,fanny leander bornedal,ask mossberg truelsen,peder holm johansen,alexandre willaume,susanne storm,andrea engelsmann persson,thomas chaanhing,morten hauch-fausbã¸ll,eskil tonnesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,okko's inn,PG,96 min,"AnimeFeatures, Children_FamilyMovies",8.9,seiran kobayashi,nana mizuki,satsumi matsuda,rina endo,etsuko kozakura,yoko asagami,teiyu ichiryusai,masaki terasoma,hirohide yakumaru,anju suzuki,osamu shitara,mikako komatsu,horan chiaki,koichi yamadera,fumiko orikasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,article 15,TV-MA,125 min,"Dramas, InternationalMovies, Thrillers",8.9,ayushmann khurrana,nassar,manoj pahwa,kumud mishra,isha talwar,sayani gupta,mohammed zeeshan ayyub,subhrajyoti barat,sushil pandey,aakash dabhade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,pegasus,TV-MA,98 min,"Comedies, Dramas, InternationalMovies",8.9,shen teng,yin zheng,johnny huang,zhang benyu,yin fang,tian yu,wei xiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,behind the newsroom,TV-MA,1 Season,"InternationalTvShows, RomanticTVShows, TVDramas",8.9,pok piyatida woramusik,willie ruengrit mcintosh,charebelle lanlalin,tono pakin kumwilaisuk,point cholawit meetongcom,cee hathaiphat,pitta na pattalung,ae sasikarn aphichartworasilp,louis pongphan petchbuntoon,sawitree samipak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,chupan chupai,TV-14,118 min,"Comedies, InternationalMovies",8.9,ahsan khan,neelam muneer,faizan khawaja,ali rizvi,vajdaan shah,zayed sheikh,talat hussain,javed sheikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,friend request,R,92 min,"HorrorMovies, InternationalMovies",8.9,alycia debnam-carey,william moseley,connor paolo,brit morgan,brooke markham,sean marquette,liesl ahlers,shashawnee hall,susan danford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,national treasure,PG,131 min,"Action_Adventure, Children_FamilyMovies",8.9,nicolas cage,diane kruger,justin bartha,sean bean,jon voight,harvey keitel,christopher plummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,pukar,TV-14,165 min,"Action_Adventure, Dramas, InternationalMovies",8.9,anil kapoor,madhuri dixit,namrata shirodkar,danny denzongpa,om puri,kulbhushan kharbanda,farida jalal,shivaji satham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the wedding party 2: destination dubai,TV-14,98 min,"Comedies, InternationalMovies, RomanticMovies",8.9,enyinna nwigwe,daniella down,banky wellington,adesua etomi,somkele iyamah,iretiola doyle,sola sobowale,michael de pinna,lynita crofford,patience ozokwor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,zenda,TV-14,120 min,"Dramas, InternationalMovies",8.9,santosh juvekar,siddharth chandekar,sachit patil,chinmay mandlekar,rajesh shringarpure,pushkar shrotri,tejashree pradhan,neha joshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,car masters: rust to riches,TV-PG,3 Seasons,RealityTV,8.8,mark towle,shawn pilot,constance nunes,tony quinones,"mike ""caveman"" pyle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,inception,PG-13,148 min,"Action_Adventure, Sci_Fi_Fantasy, Thrillers",8.8,leonardo dicaprio,joseph gordon-levitt,elliot page,tom hardy,ken watanabe,dileep rao,cillian murphy,tom berenger,marion cotillard,pete postlethwaite,michael caine,lukas haas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,hospital playlist,TV-14,2 Seasons,"InternationalTvShows, KoreanTVShows, TVComedies",8.8,cho jung-seok,yoo yeon-seok,jung kyung-ho,kim dae-myeong,jeon mi-do,kim hae-suk,kim kap-soo,jung moon-sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,men on a mission,TV-14,6 Seasons,"InternationalTvShows, KoreanTVShows, StandUpComedy _ Talk Shows",8.8,ho-dong kang,soo-geun lee,sang-min lee,young-chul kim,jang-hoon seo,hee-chul kim,kyung-hoon min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,monsoon,TV-MA,85 min,"Dramas, IndependentMovies, LGBTQMovies",8.8,henry golding,parker sawyers,molly harris,david tran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,is love enough? sir,TV-MA,99 min,"Dramas, IndependentMovies, InternationalMovies",8.8,tillotama shome,vivek gomber,geetanjali kulkarni,rahul vohra,divya seth,chandrachoor rai,dilnaz irani,bhagyashree pandit,anupriya goenka,rashi mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,hotel for dogs,PG,101 min,"Children_FamilyMovies, Comedies",8.8,emma roberts,jake t. austin,kyla pratt,lisa kudrow,kevin dillon,don cheadle,johnny simmons,troy gentile,eric edelstein,robinne lee,ajay naidu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,thackeray (marathi),TV-14,135 min,"Dramas, InternationalMovies",8.8,nawazuddin siddiqui,amrita rao,rajeev panday,sanjay narvekar,rajesh khera,prakash belawadi,avantika akerkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,love for sale 2,TV-14,96 min,"Dramas, InternationalMovies, RomanticMovies",8.8,della dartyan,adipati dolken,ratna riantiarno,ariyo wahab,bastian steel,gading marten,putri ayudya,taskya namya,egi fedly,yayu unru,abdurrahman arif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,the inbestigators,TV-Y,2 Seasons,"KidsTV, TVComedies",8.8,abby bergman,anna cooke,aston droomer,jamil smyth-secka,james saunders,maria angelico,eliza ong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,cocomong,TV-Y,2 Seasons,"KidsTV, KoreanTVShows",8.8,jung sun-hye,yang jeong-hwa,kim jang,ryoo jeom-hee,hong bum-ki,shin yong-woo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,drive,TV-14,119 min,"Action_Adventure, InternationalMovies",8.8,jacqueline fernandez,sushant singh rajput,boman irani,pankaj tripathi,vikramjeet virk,sapna pabbi,vibha chhibber,kaustubh kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,a little thing called first love,TV-G,1 Season,"InternationalTvShows, RomanticTVShows, TeenTVShows",8.8,lai kuan-lin,zhao jinmai,wang runze,chai wei,wang bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,kids on the block,TV-PG,102 min,"Children_FamilyMovies, Comedies",8.8,selim bayraktar,berat efe parlar,esat polat gã¼ler,eda dã¶äÿer,dora dalgä±ã§,taha sã¶nmezisik,zeynep ilgin ã‡elik,arda taåÿarcan,alperen efe esmer,ä°lknur kã¼lahlä±oglu,ä°kra kã¼lahlä±oäÿlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,a silent voice,TV-14,130 min,"AnimeFeatures, InternationalMovies",8.8,miyu irino,saori hayami,aoi yuki,kensho ono,yuki kaneko,yui ishikawa,megumi han,toshiyuki toyonaga,mayu matsuoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,monty python's fliegender zirkus,TV-MA,1 Season,"InternationalTvShows, TVComedies",8.8,graham chapman,john cleese,eric idle,terry jones,michael palin,connie booth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,baby ballroom,TV-MA,2 Seasons,"BritishTVShows, InternationalTvShows, RealityTV",8.8,warren bullock,jane bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,mujrim,TV-14,163 min,"Action_Adventure, Dramas, InternationalMovies",8.8,mithun chakraborty,madhuri dixit,suresh oberoi,shakti kapoor,pallavi joshi,gulshan grover,amrish puri,nutan,jagdeep,sharat saxena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,dave chappelle,TV-MA,1 Season,"StandUpComedy _ Talk Shows, TVComedies",8.8,dave chappelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,russell peters: almost famous,TV-MA,73 min,StandUpComedy,8.8,russell peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVShow,dead set,TV-MA,1 Season,"BritishTVShows, TVHorror, TV Thrillers",8.8,jaime winstone,andy nyman,kevin eldon,davina mccall,warren brown,riz ahmed,beth cordingly,kathleen mcdermott,raj ghatak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,a family affair,TV-PG,111 min,"Documentaries, InternationalMovies",8.8,tom fassaert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,antariksha ke rakhwale,TV-Y7,65 min,Children_FamilyMovies,8.8,sonal kaushal,rupa bhimani,julie tejwani,sabina malik,jigna bharadhwaj,rajesh kawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie,the great battle,TV-MA,136 min,"Action_Adventure, Dramas, InternationalMovies",8.8,zo in-sung,nam joo-hyuk,park sung-woong,bae seong-woo,seolhyun,jung eun-chae,yu oh-seong,sung dong-il,oh dae-whan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
