type,title,rating,duration,listed_in,IMDb,c0,c1,c2,c3,c4,c5,c6
TV Show,bluey,TV_Y,2 Seasons,"Animation, Kids",9.7,dave mccormack,melanie zanetti,brad elliot,hsiao_ling tang,,,
Movie,dinner is served,TV_PG,21 min,"ComingOfAge, Drama",9.7,qi sun,briana liu,ben wang,harry jarvis,ray wise,dejean brown,
TV Show,cosmos: a spacetime odyssey,TV_PG,1 Season,"Action, Adventure, Docuseries, Family",9.3,neil tyson,stoney emshwiller,,,,,
TV Show,"heartland docs, dvm",TV_14,3 Seasons,"Animals_Nature, Docuseries, Family",9.1,dr. erin schroeder,dr. ben schroeder,,,,,
TV Show,cosmos: possible worlds,TV_14,1 Season,"Action, Adventure, Docuseries, Family",9.1,neil degrasse tyson,,,,,,
TV Show,alaska animal rescue,TV_PG,2 Seasons,"Animals_Nature, Docuseries, Family",9.0,victoria vosburg,,,,,,
TV Show,disney gravity falls,TV_Y7,2 Seasons,"Action, Adventure, Animation, Comedy",8.9,kristen schaal,jason morgan,alex hirsch,,,,
Movie,jingle pols,TV_14,45 min,"Animals_Nature, Documentary, Medical",8.9,dr. pol,,,,,,
TV Show,the mandalorian,TV_14,2 Seasons,"Action, Adventure, Family, Sci_Fi",8.8,pedro pascal,carl weathers,gina carano,omid abtahi,nick nolte,,
TV Show,secrets of the zoo: tampa,TV_PG,2 Seasons,"Animals_Nature, Docuseries, Family",8.7,dr. ray ball,dr. lauren smith,chris massaro,tiffany burns,mike burns,melinda mendolusky,
TV Show,the simpsons,TV_PG,32 Seasons,"Animation, Comedy",8.7,dan castellaneta,julie kavner,nancy cartwright,yeardley smith,hank azaria,pamela hayden,
TV Show,critter fixers: country vets,TV_14,2 Seasons,"Animals_Nature, Docuseries, Family",8.7,sullivan jones,,,,,,
TV Show,one strange rock,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",8.7,will smith,,,,,,
Movie,invincible,PG,105 min,"Biographical, Family, Sports",8.7,mark wahlberg,greg kinnear,elizabeth banks,michael rispoli,kevin conway,kirk acevedo,
Movie,star wars: the empire strikes back (episode v),PG,127 min,"Action, Adventure, Sci_Fi",8.7,mark hamill,harrison ford,carrie fisher,billy williams,anthony daniels,david prowse,
Movie,just roll with it: you decide live!,G,52 min,Comedy,8.6,tobie windham,suzi barrett,ramon reed,kaylin hayman,jc currais,raven_symonã©,
TV Show,the incredible dr. pol,TV_14,19 Seasons,"Animals_Nature, Docuseries, Family",8.6,rick robles,dr. pol,,,,,
Movie,star wars: a new hope (episode iv),PG,125 min,"Action, Adventure, Sci_Fi",8.6,mark hamill,harrison ford,carrie fisher,peter cushing,alec guinness,anthony daniels,
TV Show,unknown waters with jeremy wade,TV_14,1 Season,"Animals_Nature, Docuseries",8.5,jeremy wade,,,,,,
TV Show,secrets of the whales,TV_PG,1 Season,"Animals_Nature, Docuseries",8.5,sigourney weaver,james cameron,brian skerry,,,,
TV Show,into the unknown: making frozen 2,TV_PG,1 Season,"Docuseries, Family",8.5,kristen bell,idina menzel,josh gad,jonathan groff,jennifer lee,chris buck,
Movie,marvel studios' avengers: infinity war,PG_13,152 min,"Action, Adventure, Fantasy, Sci_Fi",8.5,robert downey jr.,chris hemsworth,mark ruffalo,chris evans,scarlett johansson,don cheadle,
Movie,the lion king,PG,125 min,"Action, Adventure, ComingOfAge, Drama",8.5,donald glover,seth rogen,chiwetel ejiofor,alfre woodard,billy eichner,john kani,
Movie,incredible! the story of dr. pol,TV_14,44 min,"Animals_Nature, Biographical, Documentary",8.5,ari rubin,dr. pol,,,,,
TV Show,marvel comics x_men,TV_Y7,5 Seasons,"Action, Adventure, Animation, Fantasy",8.5,cedric smith,catherine disher,alyson court,chris potter,george buza,iona morris,
TV Show,so weird,TV_Y7,3 Seasons,"Fantasy, Kids, Mystery",8.5,cara delizia,patrick levis,erik von detten,belinda metz,dave ward,mackenzie phillips,
TV Show,"dr. oakley, yukon vet",TV_PG,10 Seasons,"Action, Adventure, Animals_Nature, Docuseries",8.4,dr. michelle oakley,zachary fine,,,,,
Movie,america the beautiful,TV_PG,2 min,Animals_Nature,8.4,michael b. jordan,,,,,,
TV Show,the muppet show,TV_PG,5 Seasons,"Comedy, Family, Variety",8.4,jim henson,frank oz,dave goelz,richard hunt,eren ozker,john lovelady,
TV Show,disney gallery / star wars: the mandalorian,TV_PG,2 Seasons,"Action, Adventure, Docuseries, Family",8.4,jon favreau,dave filoni,pedro pascal,bryce howard,taika waititi,carl weathers,
Movie,folklore: the long pond studio sessions,TV_14,107 min,"Documentary, Music",8.4,taylor swift,aaron dessner,jack antonoff,justin vernon,,,
TV Show,meet the chimps,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",8.4,jane lynch,,,,,,
Movie,hamilton,PG_13,160 min,"Biographical, Historical, Musical",8.4,daveed diggs,renã©e goldsberry,jonathan groff,christopher jackson,jasmine jones,lin_manuel miranda,
TV Show,star wars: the clone wars,TV_PG,7 Seasons,"Action, Adventure, Animation, Sci_Fi",8.4,tom kane,matt lanter,ashley eckstein,james arnold taylor,dee baker,corey burton,
Movie,coco,PG,105 min,"Animation, Family, Fantasy",8.4,anthony gonzalez,gael bernal,benjamin bratt,alanna ubach,renã©e victor,jaime camil,
Movie,coco (in spanish),PG,105 min,"Animation, Family, Fantasy",8.4,anthony gonzalez,gael garcã­a bernal,benjamin bratt,alanna ubach,renã©e victor,jaime camil,
Movie,marvel studios' avengers: endgame,PG_13,183 min,"Action, Adventure, Fantasy, Sci_Fi",8.4,robert downey jr.,chris evans,mark ruffalo,chris hemsworth,scarlett johansson,jeremy renner,
Movie,wall_e,G,99 min,"Action, Adventure, Animation, Family",8.4,ben burtt,elissa knight,jeff garlin,fred willard,macintalk ,john ratzenberger,
TV Show,growing up animal,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",8.3,tracee ellis ross,,,,,,
TV Show,cesar millan: better human better dog,TV_14,1 Season,"Animals_Nature, Docuseries, Family",8.3,dustin rubin,,,,,,
TV Show,secrets of the zoo,TV_PG,4 Seasons,"Animals_Nature, Docuseries, Family",8.3,mocean melvin,,,,,,
Movie,okavango: river of dreams,TV_PG,95 min,"Animals_Nature, Documentary",8.3,dereck joubert,,,,,,
TV Show,wild sri lanka,TV_PG,1 Season,"Animals_Nature, Docuseries",8.3,paul mcgann,,,,,,
TV Show,brain games,TV_G,8 Seasons,"Docuseries, Family, GameShow",8.3,neil harris,,,,,,
TV Show,wild russia,TV_PG,1 Season,"Animals_Nature, Docuseries",8.3,liam teeling,,,,,,
Movie,the incredible dr. pol: blue ribbon kids,TV_PG,42 min,"Animals_Nature, Documentary, Family",8.3,ari rubin,dr. pol,,,,,
TV Show,"dr. t, lone star vet",TV_PG,1 Season,"Docuseries, Family, Medical",8.3,dr. lauren thielen,,,,,,
Movie,newsies: the broadway musical,PG,134 min,"ComingOfAge, Drama, Family",8.3,jeremy jordan,kara lindsay,ben fankhauser,andrew keenan_bolger,steve blanchard,aisha de haas,
Movie,star wars: return of the jedi (episode vi),PG,135 min,"Action, Adventure, Sci_Fi",8.3,mark hamill,harrison ford,carrie fisher,billy williams,anthony daniels,peter mayhew,
TV Show,the avengers: earth's mightiest heroes,TV_Y7,2 Seasons,"Action, Adventure, Animation, Kids",8.3,eric loomis,bumper robinson,dawn olivera,phil lamarr,alex desert,kari wuhrer,
Movie,toy story,G,83 min,"Action, Adventure, Animation, Buddy",8.3,tom hanks,tim allen,don rickles,jim varney,wallace shawn,john ratzenberger,
Movie,toy story 3,G,103 min,"Animation, Comedy, Drama",8.3,tom hanks,tim allen,joan cusack,don rickles,wallace shawn,john ratzenberger,
Movie,up,PG,96 min,"Action, Adventure, Animation, Buddy",8.3,ed asner,christopher plummer,jordan nagai,bob peterson,delroy lindo,jerome ranft,
TV Show,port protection alaska,TV_14,2 Seasons,"Docuseries, Reality, Survival",8.2,gary muehlberger,mary miller,curly leach,sam carlson,stuart andrews,david squibb,
Movie,paperman,G,7 min,"Animation, Comedy, Family",8.2,john kahrs,kari wahlgren,,,,,
TV Show,disney amphibia,TV_Y7,3 Seasons,"Animation, Comedy, Family",8.2,justin felbinger,amanda leighton,bill farmer,brenda song,,,
TV Show,photo ark,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",8.2,joel sartore,,,,,,
TV Show,secrets of the zoo: down under,TV_14,2 Seasons,"Animals_Nature, Docuseries, Family",8.2,naomi watts,,,,,,
TV Show,disney the owl house,TV_Y7,2 Seasons,"Action, Adventure, Animation, Anime",8.2,sarah_nicole robles,wendie malick,alex hirsch,tati gabrielle,issac brown,mae whitman,
TV Show,loki,TV_14,1 Season,"Action, Adventure, Fantasy, Sci_Fi",8.2,tom hiddleston,,,,,,
TV Show,schoolhouse rock!,TV_G,6 Seasons,"Animals_Nature, Animation, Kids",8.2,bob dorough,jack sheldon,lynn ahrens,grady tate,blossom dearie,essra mohawk,
TV Show,ducktales,TV_Y7,3 Seasons,"Action, Adventure, Animation, Comedy",8.2,david tennant,danny pudi,ben schwartz,bobby moynihan,kate micucci,tony anselmo,
TV Show,magic of disney's animal kingdom,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",8.2,josh gad,,,,,,
TV Show,tron uprising,TV_Y7,1 Season,"Action, Adventure, Animation, Kids",8.2,elijah wood,bruce boxleitner,emmanuelle chriqui,mandy moore,nate corddry,lance henriksen,
Movie,disney phineas and ferb: phineas and ferb star wars,TV_G,53 min,"Action, Adventure, Animation, Musical",8.2,vincent martella,ashley tisdale,thomas brodie_sangster,caroline rhea,richard o'brien,dan povenmire,
Movie,before the flood,TV_14,96 min,Documentary,8.2,leonardo dicaprio,john kerry,barack obama,bill clinton,,,
Movie,empire of dreams: the story of the star wars trilogy,TV_14,151 min,Documentary,8.2,robert clotworthy,walter cronkite,anthony daniels,warwick davis,carrie fisher,harrison ford,
Movie,finding nemo,G,103 min,"Action, Adventure, Animation, Comedy",8.2,albert brooks,ellen degeneres,alexander gould,willem dafoe,brad garrett,allison janney,
TV Show,hostile planet,TV_PG,1 Season,"Animals_Nature, Docuseries, Survival",8.2,bear grylls,,,,,,
Movie,inside out,PG,95 min,"Animation, ComingOfAge, Family",8.2,amy poehler,phyllis smith,richard kind,bill hader,lewis black,mindy kaling,
Movie,phineas and ferb: mission marvel,TV_G,46 min,"Action, Adventure, Animation, Comedy",8.2,vincent martella,ashley tisdale,thomas brodie_sangster,caroline rhea,richard o'brien,dan povenmire,
TV Show,dug days,TV_PG,1 Season,"Animation, Comedy, Family",8.1,bob peterson,ed asner,jordan nagai,,,,
TV Show,dr. k's exotic animal er,TV_14,9 Seasons,"Animals_Nature, Docuseries, Family",8.1,dr. susan kelleher,art edmonds,,,,,
TV Show,primal survivor,TV_PG,5 Seasons,"Docuseries, Reality, Survival",8.1,hazen audel,,,,,,
Movie,mars and beyond,TV_G,53 min,"Animation, Documentary, Family",8.1,walt disney,paul frees,dr. ernst stuhlinger,dr. wernher von braun,dr. e.c. slipher,,
TV Show,disney prop culture,TV_PG,1 Season,Docuseries,8.1,daniel lanigan,,,,,,
TV Show,boy meets world,TV_PG,7 Seasons,"Comedy, ComingOfAge, Family",8.1,ben savage,william daniels,betsy randle,will friedle,rider strong,lee norris,
Movie,free solo,TV_PG,101 min,"Action, Adventure, Documentary, Sports",8.1,alex honnold,tommy caldwell,,,,,
TV Show,gargoyles,TV_Y7,3 Seasons,"Action, Adventure, Animation, Fantasy",8.1,thom hernandez,edward asner,jeff bennett,keith david,bill fagerbakke,jonathan frakes,
TV Show,great migrations,TV_PG,1 Season,"Animals_Nature, Docuseries, Survival",8.1,alec baldwin,,,,,,
TV Show,kingdom of the white wolf,TV_PG,1 Season,"Action, Adventure, Animals_Nature, Docuseries",8.1,jenny jules,,,,,,
Movie,"monsters, inc.",G,93 min,"Animation, Buddy, Comedy",8.1,john goodman,billy crystal,mary gibbs,steve buscemi,james coburn,jennifer tilly,
Movie,partly cloudy,G,6 min,"Animation, Comedy, Family",8.1,tony fucile,lori richardson,,,,,
TV Show,phineas and ferb,TV_G,4 Seasons,"Action, Adventure, Animation, Comedy",8.1,vincent martella,ashley tisdale,thomas sangster,caroline rhea,alyson stoner,mitchel musso,
Movie,ratatouille,G,111 min,"Animation, Comedy, Family",8.1,patton oswalt,ian holm,lou romano,brian dennehy,peter sohn,peter o'toole,
Movie,the rookie,G,129 min,"Biographical, Family, Sports",8.1,dennis quaid,rachel griffiths,jay hernandez,beth grant,angus jones,brian cox,
Movie,the sound of music,G,175 min,"Biographical, Family, Historical",8.1,julie andrews,christopher plummer,richard haydn,peggy wood,evadne baker,portia nelson,
Movie,duck the halls: a mickey mouse christmas special,TV_G,23 min,"Animation, Family",8.0,chris diamantopoulos,tony anselmo,tress macneille,bill farmer,russi taylor,corey burton,
Movie,adventure thru the walt disney archives,TV_PG,59 min,Documentary,8.0,don hahn,kathryn beaumont,pete docter,kevin feige,mark hamill,bob iger,
TV Show,ice road rescue,TV_14,5 Seasons,"Docuseries, Reality, Survival",8.0,david wartnaby,bjã¸rn lã¦greid,thord paulsen,,,,
TV Show,adventures in wonderland,TV_G,1 Season,"Fantasy, Musical",8.0,patrick richwood,reece holland,john robert hoffman,wesley mann,harry waters jr.,john lovelady,
Movie,disney my music story sukimaswitch,TV_PG,81 min,"Biographical, Documentary, Music",8.0,takuya ohashi,shintaro tokita,,,,,
TV Show,wandavision,TV_14,1 Season,"Drama, Fantasy, Mystery",8.0,elizabeth olsen,paul bettany,teyonah parris,kathryn hahn,randall park,kat dennings,
Movie,soul,PG,107 min,"Animation, Comedy, Family",8.0,jamie foxx,tina fey,angela bassett,"ahmir_khalib ""questlove"" thompson",phylicia rashad,daveed diggs,
TV Show,europe from above,TV_G,1 Season,"Docuseries, Reality",8.0,julian barratt,,,,,,
Movie,big cat games,TV_PG,44 min,"Animals_Nature, Family, Reality",8.0,boone smith,,,,,,
Movie,x_men: days of future past,PG_13,132 min,"Action, Adventure, Family, Sci_Fi",8.0,hugh jackman,james mcavoy,michael fassbender,jennifer lawrence,halle berry,nicholas hoult,
TV Show,secrets of wild india,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",8.0,david attenborough,,,,,,
TV Show,it's a dog's life with bill farmer,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",8.0,bill farmer,,,,,,
TV Show,prairie dog manor,TV_PG,1 Season,"Animals_Nature, Docuseries, Reality",8.0,kevin conway,,,,,,
Movie,the princess bride,PG,99 min,"Action, Adventure, Comedy, Family",8.0,cary elwes,mandy patinkin,chris sarandon,christopher guest,wallace shawn,andre the giant,
Movie,jane goodall: the hope,TV_14,89 min,"Biographical, Documentary",8.0,jane goodall,,,,,,
Movie,the straight story,G,112 min,"Biographical, Drama",8.0,richard farnsworth,sissy spacek,harry stanton,everett mcgill,john farley,kevin farley,
TV Show,disney star vs. the forces of evil,TV_Y7,4 Seasons,"Action, Adventure, Animation, Comedy",8.0,eden sher,adam mcarthur,,,,,
Movie,aladdin (1992),G,94 min,"Action, Adventure, Animation, Family",8.0,scott weinger,robin williams,linda larkin,jonathan freeman,frank welker,gilbert gottfried,
Movie,marvel studios' guardians of the galaxy,PG_13,122 min,"Action, Adventure, Comedy, Sci_Fi",8.0,chris pratt,zoã« saldana,dave bautista,vin diesel,bradley cooper,lee pace,
Movie,marvel studios' the avengers,PG_13,145 min,"Action, Adventure, Fantasy, Sci_Fi",8.0,robert downey jr.,chris evans,mark ruffalo,chris hemsworth,scarlett johansson,jeremy renner,
Movie,mickey's christmas carol,G,26 min,"Animation, Comedy, Family",8.0,alan young,wayne allwine,hal smith,will ryan,eddy carroll,patricia parris,
Movie,pirates of the caribbean: the curse of the black pearl,PG_13,144 min,"Action, Adventure, Fantasy",8.0,johnny depp,geoffrey rush,orlando bloom,keira knightley,jack davenport,kevin mcnally,
TV Show,star wars rebels,TV_Y7,4 Seasons,"Action, Adventure, Animation, Kids",8.0,taylor gray,vanessa marshall,freddie prinze jr.,tiya sircar,steve blum,"c1_10p a.k.a. ""chopper""",
TV Show,the adventures of spin and marty,TV_G,1 Season,"Buddy, ComingOfAge, Family",8.0,david stollery,tim considine,,,,,
Movie,the incredibles,PG,116 min,"Action, Adventure, Animation, Family",8.0,craig nelson,holly hunter,samuel jackson,jason lee,dominique louis,teddy newton,
Movie,tim burtonâ€™s the nightmare before christmas,PG,78 min,"Animation, Family, Fantasy",8.0,danny elfman,chris sarandon,catherine o'hara,william hickey,glenn shadix,paul reubens,
TV Show,wolverine and the x_men,TV_Y7,1 Season,"Action, Adventure, Animation, Kids",8.0,steve blum,chris edgerly,jennifer hale,michael ironside,danielle judovits,aj buckley,
Movie,zootopia,PG,109 min,"Animation, Comedy, Family",8.0,ginnifer goodwin,jason bateman,idris elba,jenny slate,nate torrence,bonnie hunt,
Movie,disney's broadway hits at london's royal albert hall,TV_G,116 min,"ConcertFilm, Music",7.9,john barrowman,ashley brown,merle dandridge,trevor dion nicholas,jade ewen,alton fitzgerald white,
TV Show,life below zero,TV_14,16 Seasons,"Action, Adventure, Animals_Nature, Docuseries",7.9,chip hailstone,agnes hailstone,sue aikens,andy bassich,,,
TV Show,miraculous: tales of ladybug & cat noir,TV_Y7,1 Season,"Action, Adventure, Animation, Fantasy",7.9,cristina vee,bryce papenbrook,keith silverstein,mela lee,max mittelman,carrie keranen,
TV Show,america's funniest home videos: animal edition,TV_PG,1 Season,Reality,7.9,alfonso ribeiro,,,,,,
TV Show,the bad batch,TV_PG,1 Season,"Action, Adventure, Animation, Sci_Fi",7.9,dee bradley baker,,,,,,
TV Show,the wonderful world of mickey mouse,TV_G,1 Season,"Action, Adventure, Animation, Anthology",7.9,chris diamantopoulos,kaitlyn robrock,bill farmer,tony anselmo,tress macneille,,
TV Show,animal er,TV_PG,2 Seasons,"Animals_Nature, Docuseries, Family",7.9,dr. brian beale,,,,,,
Movie,fantastic mr. fox,PG,88 min,"Animation, Comedy, Crime",7.9,george clooney,meryl streep,jason schwartzman,bill murray,wally wolodarsky,eric anderson,
TV Show,lost treasures of egypt,TV_PG,1 Season,"Docuseries, Historical",7.9,rick robles,,,,,,
Movie,togo,PG,117 min,"Action, Adventure, Animals_Nature, Family",7.9,willem dafoe,julianne nicholson,christopher heyerdahl,richard dormer,michael greyeyes,michael mcelhatton,
Movie,marvel studios' thor: ragnarok,PG_13,132 min,"Action, Adventure, Comedy, Fantasy",7.9,chris hemsworth,tom hiddleston,cate blanchett,idris elba,jeff goldblum,tessa thompson,
TV Show,disney's recess,TV_Y7,3 Seasons,"Animation, Comedy, Kids",7.9,rickey collins,jason davis,ashley johnson,ross malinger,courtland mead,pamela segall,
TV Show,dog whisperer with cesar millan,TV_G,6 Seasons,"Animals_Nature, Docuseries, Family",7.9,cesar millan,,,,,,
Movie,geri's game,G,5 min,"Animation, Family, Kids",7.9,bob peterson,,,,,,
Movie,la luna,G,7 min,"Animation, ComingOfAge, Family",7.9,tony fucile,krista sheffler,phil sheridan,,,,
Movie,marvel studios' iron man,PG_13,127 min,"Action, Adventure, Sci_Fi, Superhero",7.9,robert downey jr.,terrence howard,jeff bridges,gwyneth paltrow,leslie bibb,shaun toub,
TV Show,marvel's agent carter,TV_14,2 Seasons,"Action, Adventure, Sci_Fi, Spy",7.9,hayley atwell,james d'arcy,chad murray,enver gjokaj,shea whigham,,
Movie,mickey's trailer,TV_PG,8 min,"Animation, Comedy, Family",7.9,clarence nash,pinto colvig,walt disney,,,,
TV Show,rocky mountain animal rescue,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",7.9,chopper bernet,,,,,,
Movie,star wars: the force awakens (episode vii),PG_13,139 min,"Action, Adventure, Sci_Fi",7.9,harrison ford,mark hamill,carrie fisher,adam driver,daisy ridley,john boyega,
Movie,toy story 2,G,93 min,"Action, Adventure, Animation, Comedy",7.9,tom hanks,tim allen,joan cusack,kelsey grammer,don rickles,jim varney,
TV Show,among the stars,TV_PG,1 Season,Docuseries,7.8,chris cassidy,,,,,,
Movie,the sandlot,PG,101 min,"Comedy, ComingOfAge, Family",7.8,art la fleur,tom guiry,mike vitar,patrick renna,chauncey leopardi,marty york,
TV Show,star wars vintage: clone wars 2d micro_series,TV_Y7_FV,1 Season,Series,7.8,mat lucas,james arnold taylor,tom kane,grey delisle,corey burton,andrã© sogliuzzo,
Movie,isle of dogs,PG_13,102 min,"Action, Adventure, Animation, Comedy",7.8,bryan cranston,koyu rankin,edward norton,bob balaban,jeff goldblum,bill murray,
TV Show,the right stuff,TV_14,1 Season,"Drama, Historical",7.8,jake mcdorman,patrick adams,colin oâ€™donoghue,eloise mumford,james lafferty,nora zehetner,
Movie,hidden figures,PG,128 min,"Biographical, Drama, Family",7.8,taraji henson,octavia spencer,janelle monã¡e,kevin costner,kirsten dunst,jim parsons,
TV Show,once upon a time,TV_PG,7 Seasons,"Action, Adventure, Fantasy, SoapOpera",7.8,ginnifer goodwin,jennifer morrison,robert carlyle,lana parrilla,jared gilmore,josh dallas,
TV Show,"weirdest, bestest, truest",TV_G,1 Season,"Animals_Nature, Kids, Variety",7.8,charlie engelman,kirby engelman,,,,,
TV Show,weird but true!,TV_G,3 Seasons,"Animals_Nature, Kids, Variety",7.8,charlie engelman,kirby engelman,,,,,
TV Show,love & vets,TV_PG,1 Season,"Animals_Nature, Docuseries, Family",7.8,mallory kasdan,,,,,,
Movie,born wild: the next generation,TV_PG,44 min,"Animals_Nature, Documentary",7.8,robin roberts,,,,,,
TV Show,disney vampirina ghoul girls rock! (shorts),TV_Y7,2 Seasons,"Animation, Fantasy, Kids",7.8,isabella crovetti,jordan davis,viviann yee,mitchell whitfield,wanda sykes,ian corlett,
Movie,amy,G,100 min,"Drama, Family",7.8,jenny agutter,barry newman,kathleen nolan,chris robinson,lou fant,margaret o'brien,
Movie,avatar,PG_13,162 min,"Action, Adventure, Sci_Fi",7.8,sam worthington,zoã« saldana,sigourney weaver,stephen lang,michelle rodriguez,giovanni ribisi,
Movie,big hero 6,PG,105 min,"Action, Adventure, Animation, Family",7.8,scott adsit,ryan potter,daniel henney,t. j. miller,jamie chung,damon wayans jr.,
TV Show,disney legend of the three caballeros,TV_G,1 Season,"Action, Adventure, Animation, Comedy",7.8,tony anselmo,jaime camil,eric bauza,grey griffin,wayne knight,kevin richardson,
Movie,jane,PG,90 min,"Animals_Nature, Biographical, Documentary",7.8,jane goodall,,,,,,
Movie,marvel studios' captain america: civil war,PG_13,150 min,"Action, Adventure, Sci_Fi, Superhero",7.8,chris evans,robert downey jr.,scarlett johansson,sebastian stan,anthony mackie,don cheadle,
Movie,marvel studios' captain america: the winter soldier,PG_13,138 min,"Action, Adventure, Sci_Fi, Superhero",7.8,chris evans,scarlett johansson,sebastian stan,anthony mackie,cobie smulders,frank grillo,
Movie,mary poppins,G,142 min,"Family, Fantasy, Musical",7.8,julie andrews,dick van dyke,david tomlinson,glynis johns,hermione baddeley,karen dotrice,
Movie,remember the titans,PG,114 min,"Drama, Historical, Sports",7.8,denzel washington,will patton,donald faison,wood harris,ryan hurst,ethan suplee,
Movie,rogue one: a star wars story,PG_13,134 min,"Action, Adventure, Sci_Fi",7.8,felicity jones,diego luna,ben mendelsohn,donnie yen,mads mikkelsen,alan tudyk,
Movie,the band concert,TV_Y7,10 min,"Animation, Family, Kids",7.8,clarence nash,,,,,,
Movie,the three caballeros,G,72 min,"Animation, Family, Musical",7.8,aurora miranda,carmen molina,sterling holloway,clarence nash,joaquin garay,jose oliveira,
TV Show,x_men: evolution,TV_Y7,4 Seasons,"Action, Adventure, Animation, Kids",7.8,noel fisher,vincent gale,christopher judge,david kaye,scott mcneil,meghan black,
Movie,the pixar story,G,91 min,"Documentary, Family",7.7,stacy keach,john lasseter,brad bird,john musker,ron clements,frank thomas,
Movie,x_men: first class,PG_13,132 min,"Action, Adventure, Sci_Fi, Superhero",7.7,james mcavoy,michael fassbender,rose byrne,jennifer lawrence,january jones,nicholas hoult,
Movie,the fault in our stars,PG_13,127 min,"ComingOfAge, Drama, Romance",7.7,shailene woodley,ansel elgort,laura dern,sam trammell,nat wolff,willem dafoe,
TV Show,behind the attraction,TV_PG,1 Season,"Docuseries, Family",7.7,paget brewster,,,,,,
TV Show,gordon ramsay: uncharted,TV_14,3 Seasons,"Action, Adventure, Docuseries, Lifestyle",7.7,gordon ramsay,,,,,,
TV Show,secrets of sulphur springs,TV_PG,1 Season,"Family, Fantasy, Mystery",7.7,preston oliver,kyliegh curran,elle graham,madeleine mcgraw,landon gordon,kelly frye,
Movie,home alone,PG,103 min,"Comedy, Family",7.7,macaulay culkin,joe pesci,daniel stern,john heard,roberts blossom,catherine o'hara,
Movie,oil spill of the century,TV_PG,45 min,"Documentary, Historical",7.7,loã¯ck peyron,,,,,,
Movie,disneynature oceans,G,84 min,"Animals_Nature, Documentary, Family",7.7,pierce brosnan,lancelot perrin,,,,,
Movie,man in space,TV_PG,49 min,"Documentary, Family",7.7,walt disney,dick tufeld,ward kimball,willy ley,dr. heinz haber,dr. wernher von braun,
TV Show,the greeks,TV_PG,1 Season,"Docuseries, Historical",7.7,toby moore,,,,,,
TV Show,lost cities with albert lin,TV_PG,1 Season,"Action, Adventure, Docuseries, Historical",7.7,dr. albert len,,,,,,
Movie,toy story 4,G,101 min,"Action, Adventure, Animation, Comedy",7.7,tom hanks,tim allen,annie potts,tony hale,keegan_michael key,madeleine mcgraw,
Movie,fantasia,G,126 min,"Animation, Family, Fantasy",7.7,deems taylor,walt disney,leopold stokowski,,,,
Movie,frank and ollie,PG,89 min,"Biographical, Documentary",7.7,frank thomas,ollie johnston,sylvia roemer,john canemaker,john culhane,marie johnston,
Movie,inner workings,G,6 min,"Animation, Comedy, Family",7.7,este haim,tucker gilmore,raymond persi,terri douglas,,,
Movie,tangled,PG,101 min,"Action, Adventure, Animation, Family",7.7,mandy moore,zachary levi,donna murphy,ron perlman,m.c. gainey,jeffrey tambor,
Movie,the muppet christmas carol,G,87 min,"Comedy, Drama, Family",7.7,michael caine,steve whitmire,frank oz,dave goelz,jerry nelson,david rudman,
TV Show,the world according to jeff goldblum,TV_PG,2 Seasons,Docuseries,7.7,jeff goldblum,,,,,,
Movie,who framed roger rabbit,PG,104 min,"Action, Adventure, Animation, Comedy",7.7,bob hoskins,christopher lloyd,stubby kaye,joanna cassidy,alan tilvern,richard leparmentier,
Movie,wreck_it ralph,PG,103 min,"Action, Adventure, Animation, Comedy",7.7,john reilly,sarah silverman,jack mcbrayer,jane lynch,alan tudyk,mindy kaling,
TV Show,hawkeye,TV_14,1 Season,"Action, Adventure, Superhero",7.6,jeremy renner,hailee steinfeld,vera farmiga,fra fee,tony dalton,zahn mcclarnon,
Movie,tangled ever after,G,9 min,"Animation, Family",7.6,mandy moore,zachary levi,alan dale,paul f. tompkins,kari wahlgren,mark allen stewart,
Movie,the scariest story ever: a mickey mouse halloween spooktacular,TV_G,22 min,"Animation, Family, Parody",7.6,chris diamantopoulos,tony anselmo,tress macneille,bill farmer,russi taylor,,
TV Show,great barrier reef,TV_PG,1 Season,"Animals_Nature, Docuseries",7.6,don halbert,,,,,,
TV Show,dog: impossible,TV_PG,2 Seasons,"Animals_Nature, Docuseries, Family",7.6,matt beisner,,,,,,
TV Show,running wild with bear grylls,TV_PG,2 Seasons,"Action, Adventure, Reality, Survival",7.6,bear grylls,,,,,,
TV Show,the mysterious benedict society,TV_PG,1 Season,"Action, Adventure, Family",7.6,tony hale,kristen schaal,mystic inscho,seth carr,marta kessler,emmy deoliveira,
TV Show,dino ranch,TV_Y,1 Season,"Animation, Kids, Western",7.6,tyler nathan,jacob mazeral,ava ro,scott gorman,athena karkanis,,
Movie,prep & landing,TV_G,23 min,"Animation, Family, Fantasy",7.6,dave foley,sarah chalke,mason cotton,lino disalvo,derek richardson,william sheppard,
