type,title,rating,duration,listed_in,IMDb,c0,c1,c2,c3,c4,c5,c6
Movie,cars toon: time travel mater,TV_G,7 min,"Animation, Comedy, Family",6.2,larry the cable guy ,keith ferguson,john higgins,katherine helmond,,,
Movie,12 dates of christmas,TV_PG,88 min,"Comedy, Family, Fantasy",6.2,amy smart,mark_paul gosselaar,peter macneil,mary long,jayne eastwood,laura miyata,
Movie,benji the hunted,G,89 min,"Action, Adventure, Animals_Nature, Family",6.2,red steagall,frank inn,nancy francis,mike francis,joe camp,steve zanolini,
Movie,brave little toaster to the rescue,TV_G,75 min,"Action, Adventure, Animation",6.2,deanna oliver,tim stack,jon lovitz,thurl ravenscroft,phil hartman,jay mohr,
Movie,cars 2,G,107 min,"Animation, Comedy, Family",6.2,owen wilson,larry the cable guy ,michael caine,emily mortimer,john turturro,eddie izzard,
Movie,diary of a wimpy kid,PG,93 min,"Comedy, Family",6.2,zachary gordon,robert capron,rachel harris,steve zahn,connor fielding,owen fielding,
TV Show,disney evermoor,TV_PG,1 Season,Series,6.2,naomi sequeira,jordan loughran,belinda stewart_wilson,dan fredenburgh,george sear,georgie farmer,
TV Show,disney k.c. undercover,TV_Y7,3 Seasons,"Action, Adventure, Comedy, Kids",6.2,zendaya ,veronica dunne,kamil mcfadden,tammy townsend,kadeem hardison,,
TV Show,disney's little einsteins,TV_Y,2 Seasons,"Action, Adventure, Animation, Kids",6.2,erica huang,aiden pompey,jesse schwartz,natalia wojcik,,,
Movie,emil and the detectives,TV_PG,98 min,"Action, Adventure, Crime, Family",6.2,walter slezak,roger mobley,heinz schubert,peter ehrlich,cindy cassell,elsa wagner,
Movie,johnny tsunami,TV_G,92 min,"ComingOfAge, Drama, Sports",6.2,cary_hiroyuki tagawa,brandon baker,yuji okumoto,mary keller,lee young,kirsten storms,
Movie,lady and the tramp,PG,111 min,"Action, Adventure, Comedy, Family",6.2,tessa thompson,justin theroux,sam elliott,ashley jensen,janelle monã¡e,kiersey clemons,
Movie,lilo & stitch 2: stitch has a glitch,PG,70 min,"Animation, Comedy, Dance",6.2,christopher sanders,dakota fanning,tia carrere,david stiers,kevin mcdonald,kunewa mook,
Movie,melody time,TV_PG,76 min,"Animation, Anthology, Family",6.2,roy rogers,trigger ,dennis day,the andrews sisters ,fred waring and his pennsylvanians ,freddy martin,
Movie,once upon a mattress,TV_PG,88 min,"Comedy, Family, Fantasy",6.2,carol burnett,tracey ullman,denis o'hare,zooey deschanel,michael boatman,edward hibbert,
Movie,"sammy, the way_out seal",TV_G,43 min,"Animals_Nature, Comedy, Family",6.2,jack carson,robert culp,patricia barry,elisabeth fraser,michael mcgreevey,billy mummy,
Movie,secrets of the king cobra,TV_PG,47 min,"Animals_Nature, Documentary",6.2,andre braugher,,,,,,
Movie,the adventures of huck finn,PG,108 min,"Action, Adventure, ComingOfAge, Drama",6.2,elijah wood,courtney vance,robbie coltrane,jason robards,ron perlman,dana ivey,
Movie,the bears and i,TV_PG,83 min,"Animals_Nature, Drama, Family",6.2,patrick wayne,chief george,andrew duggan,michael ansara,robert pine,val devargas,
Movie,wizards of waverly place: the movie,TV_G,94 min,"Action, Adventure, Comedy, ComingOfAge",6.2,selena gomez,david henrie,jake t. austin,jennifer stone,maria canals_barrera,david deluise,
Movie,z_o_m_b_i_e_s,TV_G,97 min,"ComingOfAge, Musical, Sci_Fi",6.2,milo manheim,meg donnelly,trevor tordjman,kylee russell,carla jeffery,kingston foster,
TV Show,just beyond,TV_PG,1 Season,"Anthology, Comedy, ComingOfAge",6.1,mckenna grace,lexi underwood,cedric joe,tim heidecker,riki lindhome,nasim pedrad,
Movie,"the good, the bart, and the loki",TV_PG,6 min,"Animation, Comedy, Fantasy",6.1,dan castellaneta,nancy cartwright,yeardley smith,,,,
Movie,baby's day out,PG,99 min,"Action, Adventure, Comedy, Crime",6.1,joe mantegna,lara flynn boyle,joe pantoliano,brian haley,cynthia nixon,fred dalton thompson,
Movie,the kid who would be king,PG,121 min,"Action, Adventure, ComingOfAge, Family",6.1,louis ashbourne serkis,tom taylor,rebecca ferguson,patrick stewart,denise gough,dean chaumoo,
Movie,godmothered,PG,113 min,"Comedy, Family, Fantasy",6.1,june squibb,jillian bell,jane curtin,carlease burke,sonia manzano,erica parks,
Movie,disney channel halloween house party,TV_G,23 min,"Comedy, Variety",6.1,tobie windham,raphael alejandro,suzi barrett,isaac ryan brown,kylie cantrall,scarlett estevez,
Movie,the sorcerer's apprentice,PG,111 min,"Action, Adventure, Fantasy",6.1,nicolas cage,jay baruchel,alfred molina,teresa palmer,monica bellucci,omar miller,
Movie,alice through the looking glass,PG,115 min,"Action, Adventure, Fantasy",6.1,johnny depp,anne hathaway,mia wasikowska,matt lucas,rhys ifans,helena carter,
TV Show,101 dalmatians (series),TV_Y7,1 Season,"Action, Adventure, Animation, Kids",6.1,jeff bennett,christine cavanaugh,tara charendoff,jim cummings,tress macneille,charlotte rae,
TV Show,diary of a future president,TV_PG,2 Seasons,"Comedy, ComingOfAge, Family",6.1,tess romero,selenis leyva,charlie bushnell,michael weaver,,,
Movie,cars toon: el materdor,TV_G,4 min,"Animation, Comedy, Family",6.1,larry the cable guy ,keith ferguson,,,,,
